example_id,sentence,tokens,ner_tags,source,num_tokens,num_locations
10,"EU Farm Commissioner Franz Fischler had proposed banning sheep brains , spleens and spinal cords from the human and animal food chains after reports from Britain and France that under laboratory conditions sheep could contract Bovine Spongiform Encephalopathy ( BSE ) -- mad cow disease .","['EU', 'Farm', 'Commissioner', 'Franz', 'Fischler', 'had', 'proposed', 'banning', 'sheep', 'brains', ',', 'spleens', 'and', 'spinal', 'cords', 'from', 'the', 'human', 'and', 'animal', 'food', 'chains', 'after', 'reports', 'from', 'Britain', 'and', 'France', 'that', 'under', 'laboratory', 'conditions', 'sheep', 'could', 'contract', 'Bovine', 'Spongiform', 'Encephalopathy', '(', 'BSE', ')', '--', 'mad', 'cow', 'disease', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_conll,46,0
11,We visited HARYANA last month.,"['We', 'visited', 'HARYANA', 'last', 'month.']","[0, 0, 1, 0, 0]",generated,5,1
12,Traveling from Alirajpur to Mumbai is easy.,"['Traveling', 'from', 'Alirajpur', 'to', 'Mumbai', 'is', 'easy.']","[0, 0, 1, 0, 0, 0, 0]",generated,7,1
13,The Firozabad municipal corporation announced new rules.,"['The', 'Firozabad', 'municipal', 'corporation', 'announced', 'new', 'rules.']","[0, 1, 0, 0, 0, 0, 0]",generated,7,1
14,Iran heavily bombarded targets in northern Iraq in July in pursuit of KDPI guerrillas based in Iraqi Kurdish areas outside the control of the government in Baghdad .,"['Iran', 'heavily', 'bombarded', 'targets', 'in', 'northern', 'Iraq', 'in', 'July', 'in', 'pursuit', 'of', 'KDPI', 'guerrillas', 'based', 'in', 'Iraqi', 'Kurdish', 'areas', 'outside', 'the', 'control', 'of', 'the', 'government', 'in', 'Baghdad', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_conll,28,0
15,The earthquake affected Amreli region.,"['The', 'earthquake', 'affected', 'Amreli', 'region.']","[0, 0, 0, 1, 0]",generated,5,1
16,We visited East Siang last month.,"['We', 'visited', 'East', 'Siang', 'last', 'month.']","[0, 0, 1, 2, 0, 0]",generated,6,1
17,New hospital opened in MADHYA PRADESH.,"['New', 'hospital', 'opened', 'in', 'MADHYA', 'PRADESH.']","[0, 0, 0, 0, 0, 0]",generated,6,0
18,-DOCSTART-,['-DOCSTART-'],[0],original_conll,1,0
19,The earthquake affected Mokokchung region.,"['The', 'earthquake', 'affected', 'Mokokchung', 'region.']","[0, 0, 0, 1, 0]",generated,5,1
20,Trade between Jaintia Hills and Chennai increased.,"['Trade', 'between', 'Jaintia', 'Hills', 'and', 'Chennai', 'increased.']","[0, 0, 1, 2, 0, 0, 0]",generated,7,1
21,Agriculture in MADHYA PRADESH is thriving.,"['Agriculture', 'in', 'MADHYA', 'PRADESH', 'is', 'thriving.']","[0, 0, 1, 2, 0, 0]",generated,6,1
22,We traveled from Morigaon to Delhi.,"['We', 'traveled', 'from', 'Morigaon', 'to', 'Delhi.']","[0, 0, 0, 1, 0, 0]",generated,6,1
23,Monsoon arrived early in Bhilwara.,"['Monsoon', 'arrived', 'early', 'in', 'Bhilwara.']","[0, 0, 0, 0, 0]",generated,5,0
24,Temperature in UTTARAKHAND reached 45 degrees.,"['Temperature', 'in', 'UTTARAKHAND', 'reached', '45', 'degrees.']","[0, 0, 1, 0, 0, 0]",generated,6,1
25,New hospital opened in Thiruvananthapuram.,"['New', 'hospital', 'opened', 'in', 'Thiruvananthapuram.']","[0, 0, 0, 0, 0]",generated,5,0
26,The company expanded to Chatra.,"['The', 'company', 'expanded', 'to', 'Chatra.']","[0, 0, 0, 0, 0]",generated,5,0
27,I was born in Sangareddy.,"['I', 'was', 'born', 'in', 'Sangareddy.']","[0, 0, 0, 0, 0]",generated,5,0
28,"Elsewhere in the northwest , authorities on Saturday found the bodies of six people who had been shot dead in the Kurram region along the Afghan border .","['Elsewhere', 'in', 'the', 'northwest', ',', 'authorities', 'on', 'Saturday', 'found', 'the', 'bodies', 'of', 'six', 'people', 'who', 'had', 'been', 'shot', 'dead', 'in', 'the', 'Kurram', 'region', 'along', 'the', 'Afghan', 'border', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",original_hindi,28,1
29,Conservationists hope she will help draw attention to the threats facing the giant panda -- one of China 's national symbols .,"['Conservationists', 'hope', 'she', 'will', 'help', 'draw', 'attention', 'to', 'the', 'threats', 'facing', 'the', 'giant', 'panda', '--', 'one', 'of', 'China', ""'s"", 'national', 'symbols', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_hindi,22,0
30,The earthquake affected Shimla region.,"['The', 'earthquake', 'affected', 'Shimla', 'region.']","[0, 0, 0, 1, 0]",generated,5,1
31,She works in Amroha.,"['She', 'works', 'in', 'Amroha.']","[0, 0, 0, 0]",generated,4,0
32,The festival in Meerut was amazing.,"['The', 'festival', 'in', 'Meerut', 'was', 'amazing.']","[0, 0, 0, 1, 0, 0]",generated,6,1
33,Trade between Lakhimpur and Chennai increased.,"['Trade', 'between', 'Lakhimpur', 'and', 'Chennai', 'increased.']","[0, 0, 1, 0, 0, 0]",generated,6,1
34,The earthquake affected Chikkaballapura region.,"['The', 'earthquake', 'affected', 'Chikkaballapura', 'region.']","[0, 0, 0, 1, 0]",generated,5,1
35,Traveling from Ahmadabad to Mumbai is easy.,"['Traveling', 'from', 'Ahmadabad', 'to', 'Mumbai', 'is', 'easy.']","[0, 0, 1, 0, 0, 0, 0]",generated,7,1
36,""" The most important thing the business groups can do is to tell the governments where there are logjams , where there are obstacles , where things can improve , "" Harcourt said .","['""', 'The', 'most', 'important', 'thing', 'the', 'business', 'groups', 'can', 'do', 'is', 'to', 'tell', 'the', 'governments', 'where', 'there', 'are', 'logjams', ',', 'where', 'there', 'are', 'obstacles', ',', 'where', 'things', 'can', 'improve', ',', '""', 'Harcourt', 'said', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_hindi,34,0
37,"The unusually cold weather is affecting Rohtak , the Jhargram of East Khasi Hills , East Khasi Hills and Dakshin Dinajpur , and is moving into the Nordic countries .","['The', 'unusually', 'cold', 'weather', 'is', 'affecting', 'Rohtak', ',', 'the', 'Jhargram', 'of', 'East', 'Khasi', 'Hills', ',', 'East', 'Khasi', 'Hills', 'and', 'Dakshin', 'Dinajpur', ',', 'and', 'is', 'moving', 'into', 'the', 'Nordic', 'countries', '.']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 2, 2, 0, 1, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",enhanced,30,5
38,The flight to Purbi Champaran was delayed.,"['The', 'flight', 'to', 'Purbi', 'Champaran', 'was', 'delayed.']","[0, 0, 0, 1, 2, 0, 0]",generated,7,1
39,The river flows through Yanam.,"['The', 'river', 'flows', 'through', 'Yanam.']","[0, 0, 0, 0, 0]",generated,5,0
40,BAGHDAD 1996-08-22,"['BAGHDAD', '1996-08-22']","[0, 0]",original_conll,2,0
41,Cultural events in Kalahandi attract tourists.,"['Cultural', 'events', 'in', 'Kalahandi', 'attract', 'tourists.']","[0, 0, 0, 1, 0, 0]",generated,6,1
42,CHHATTISGARH mein bahut garmi hai.,"['CHHATTISGARH', 'mein', 'bahut', 'garmi', 'hai.']","[1, 0, 0, 0, 0]",generated,5,1
43,The earthquake affected Nizamabad region.,"['The', 'earthquake', 'affected', 'Nizamabad', 'region.']","[0, 0, 0, 1, 0]",generated,5,1
44,The festival in Jhunjhunun was amazing.,"['The', 'festival', 'in', 'Jhunjhunun', 'was', 'amazing.']","[0, 0, 0, 1, 0, 0]",generated,6,1
45,The Kheri cricket team won the match.,"['The', 'Kheri', 'cricket', 'team', 'won', 'the', 'match.']","[0, 1, 0, 0, 0, 0, 0]",generated,7,1
46,Traveling from Haora to Mumbai is easy.,"['Traveling', 'from', 'Haora', 'to', 'Mumbai', 'is', 'easy.']","[0, 0, 1, 0, 0, 0, 0]",generated,7,1
47,The flight to Mahisagar was delayed.,"['The', 'flight', 'to', 'Mahisagar', 'was', 'delayed.']","[0, 0, 0, 1, 0, 0]",generated,6,1
48,The Nirmal municipal corporation announced new rules.,"['The', 'Nirmal', 'municipal', 'corporation', 'announced', 'new', 'rules.']","[0, 1, 0, 0, 0, 0, 0]",generated,7,1
49,The route between Delhi and Anjaw is scenic.,"['The', 'route', 'between', 'Delhi', 'and', 'Anjaw', 'is', 'scenic.']","[0, 0, 0, 0, 0, 1, 0, 0]",generated,8,1
50,Temperature in Muzaffarnagar reached 45 degrees.,"['Temperature', 'in', 'Muzaffarnagar', 'reached', '45', 'degrees.']","[0, 0, 1, 0, 0, 0]",generated,6,1
51,His driver and a tribal elder were also killed .,"['His', 'driver', 'and', 'a', 'tribal', 'elder', 'were', 'also', 'killed', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_hindi,10,0
52,Agriculture in Karur is thriving.,"['Agriculture', 'in', 'Karur', 'is', 'thriving.']","[0, 0, 1, 0, 0]",generated,5,1
53,"-- The analyst set a 12-month price target of $ 45 and a fiscal 1996 year earnings estimate of $ 3.09 per share , his office said .","['--', 'The', 'analyst', 'set', 'a', '12-month', 'price', 'target', 'of', '$', '45', 'and', 'a', 'fiscal', '1996', 'year', 'earnings', 'estimate', 'of', '$', '3.09', 'per', 'share', ',', 'his', 'office', 'said', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_conll,28,0
54,"In other violence , U.S. officials said one American soldier was killed while on patrol in JHARKHAND Sunday .","['In', 'other', 'violence', ',', 'U.S.', 'officials', 'said', 'one', 'American', 'soldier', 'was', 'killed', 'while', 'on', 'patrol', 'in', 'JHARKHAND', 'Sunday', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",enhanced,19,1
55,Main Kanniyakumari ja raha hun.,"['Main', 'Kanniyakumari', 'ja', 'raha', 'hun.']","[0, 1, 0, 0, 0]",generated,5,1
56,We traveled from Sikar to Delhi.,"['We', 'traveled', 'from', 'Sikar', 'to', 'Delhi.']","[0, 0, 0, 1, 0, 0]",generated,6,1
57,Traveling from Una to Mumbai is easy.,"['Traveling', 'from', 'Una', 'to', 'Mumbai', 'is', 'easy.']","[0, 0, 1, 0, 0, 0, 0]",generated,7,1
58,Educational institutions in Mumbai are top-rated.,"['Educational', 'institutions', 'in', 'Mumbai', 'are', 'top-rated.']","[0, 0, 0, 1, 0, 0]",generated,6,1
59,Saudi riyal rates steady in quiet summer trade .,"['Saudi', 'riyal', 'rates', 'steady', 'in', 'quiet', 'summer', 'trade', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",original_conll,9,0
60,Y.S.R. is known for its beautiful landscapes.,"['Y.S.R.', 'is', 'known', 'for', 'its', 'beautiful', 'landscapes.']","[1, 0, 0, 0, 0, 0, 0]",generated,7,1
61,Monsoon arrived early in East District.,"['Monsoon', 'arrived', 'early', 'in', 'East', 'District.']","[0, 0, 0, 0, 0, 0]",generated,6,0
62,Bhopal experienced heavy rainfall.,"['Bhopal', 'experienced', 'heavy', 'rainfall.']","[1, 0, 0, 0]",generated,4,1
63,Agriculture in Maldah is thriving.,"['Agriculture', 'in', 'Maldah', 'is', 'thriving.']","[0, 0, 1, 0, 0]",generated,5,1
64,The United Nations created the oil-for-food program after the first Gulf War to allow Iraq to sell oil and use the profits for the Iraqi people 's humanitarian needs .,"['The', 'United', 'Nations', 'created', 'the', 'oil-for-food', 'program', 'after', 'the', 'first', 'Gulf', 'War', 'to', 'allow', 'Iraq', 'to', 'sell', 'oil', 'and', 'use', 'the', 'profits', 'for', 'the', 'Iraqi', 'people', ""'s"", 'humanitarian', 'needs', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_hindi,30,0
65,Government officials from Kurukshetra attended the meeting.,"['Government', 'officials', 'from', 'Kurukshetra', 'attended', 'the', 'meeting.']","[0, 0, 0, 1, 0, 0, 0]",generated,7,1
66,China 's giant pandas have been on endangered species lists for nearly 30 years .,"['China', ""'s"", 'giant', 'pandas', 'have', 'been', 'on', 'endangered', 'species', 'lists', 'for', 'nearly', '30', 'years', '.']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_hindi,15,1
67,Trade between Dhaulpur and Chennai increased.,"['Trade', 'between', 'Dhaulpur', 'and', 'Chennai', 'increased.']","[0, 0, 1, 0, 0, 0]",generated,6,1
68,Mere dost Rajanna se hain.,"['Mere', 'dost', 'Rajanna', 'se', 'hain.']","[0, 0, 1, 0, 0]",generated,5,1
69,We traveled from Chamarajanagar to Delhi.,"['We', 'traveled', 'from', 'Chamarajanagar', 'to', 'Delhi.']","[0, 0, 0, 1, 0, 0]",generated,6,1
70,"To bat : R. Croft , D. Cork , A. Mullally","['To', 'bat', ':', 'R.', 'Croft', ',', 'D.', 'Cork', ',', 'A.', 'Mullally']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_conll,11,0
71,""" And unfortunately I ca n't , but this is my way of paying my dues and taking responsibility and being an adult . ""","['""', 'And', 'unfortunately', 'I', 'ca', ""n't"", ',', 'but', 'this', 'is', 'my', 'way', 'of', 'paying', 'my', 'dues', 'and', 'taking', 'responsibility', 'and', 'being', 'an', 'adult', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_hindi,25,0
72,Mere dost Botad se hain.,"['Mere', 'dost', 'Botad', 'se', 'hain.']","[0, 0, 1, 0, 0]",generated,5,1
73,"Iraqi President Saddam Hussein has told visiting Russian ultra-nationalist Vladimir Zhirinovsky that Baghdad wanted to maintain "" friendship and cooperation "" with Moscow , official Iraqi newspapers said on Thursday .","['Iraqi', 'President', 'Saddam', 'Hussein', 'has', 'told', 'visiting', 'Russian', 'ultra-nationalist', 'Vladimir', 'Zhirinovsky', 'that', 'Baghdad', 'wanted', 'to', 'maintain', '""', 'friendship', 'and', 'cooperation', '""', 'with', 'Moscow', ',', 'official', 'Iraqi', 'newspapers', 'said', 'on', 'Thursday', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_conll,31,0
74,A select committee report due Wednesday is expected to be highly critical of the government 's financing of the Games .,"['A', 'select', 'committee', 'report', 'due', 'Wednesday', 'is', 'expected', 'to', 'be', 'highly', 'critical', 'of', 'the', 'government', ""'s"", 'financing', 'of', 'the', 'Games', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_hindi,21,0
75,Kulgam experienced heavy rainfall.,"['Kulgam', 'experienced', 'heavy', 'rainfall.']","[1, 0, 0, 0]",generated,4,1
76,We visited Lucknow last month.,"['We', 'visited', 'Lucknow', 'last', 'month.']","[0, 0, 1, 0, 0]",generated,5,1
77,Monsoon arrived early in Azamgarh.,"['Monsoon', 'arrived', 'early', 'in', 'Azamgarh.']","[0, 0, 0, 0, 0]",generated,5,0
78,The Barddhaman municipal corporation announced new rules.,"['The', 'Barddhaman', 'municipal', 'corporation', 'announced', 'new', 'rules.']","[0, 1, 0, 0, 0, 0, 0]",generated,7,1
79,The Ernakulam municipal corporation announced new rules.,"['The', 'Ernakulam', 'municipal', 'corporation', 'announced', 'new', 'rules.']","[0, 1, 0, 0, 0, 0, 0]",generated,7,1
80,Government officials from Thane attended the meeting.,"['Government', 'officials', 'from', 'Thane', 'attended', 'the', 'meeting.']","[0, 0, 0, 1, 0, 0, 0]",generated,7,1
81,I was born in Rayagada.,"['I', 'was', 'born', 'in', 'Rayagada.']","[0, 0, 0, 0, 0]",generated,5,0
82,Jammu mein bahut garmi hai.,"['Jammu', 'mein', 'bahut', 'garmi', 'hai.']","[1, 0, 0, 0, 0]",generated,5,1
83,"Itamar Rabinovich , who as Israel 's ambassador to Washington conducted unfruitful negotiations with Syria , told Israel Radio it looked like Damascus wanted to talk rather than fight .","['Itamar', 'Rabinovich', ',', 'who', 'as', 'Israel', ""'s"", 'ambassador', 'to', 'Washington', 'conducted', 'unfruitful', 'negotiations', 'with', 'Syria', ',', 'told', 'Israel', 'Radio', 'it', 'looked', 'like', 'Damascus', 'wanted', 'to', 'talk', 'rather', 'than', 'fight', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_conll,30,0
84,The company expanded to Jhansi.,"['The', 'company', 'expanded', 'to', 'Jhansi.']","[0, 0, 0, 0, 0]",generated,5,0
85,The flight to Khargone (West Nimar) was delayed.,"['The', 'flight', 'to', 'Khargone', '(West', 'Nimar)', 'was', 'delayed.']","[0, 0, 0, 1, 2, 2, 0, 0]",generated,8,1
86,Ramanathapuram ki yatra sundar thi.,"['Ramanathapuram', 'ki', 'yatra', 'sundar', 'thi.']","[1, 0, 0, 0, 0]",generated,5,1
87,Main Anand ja raha hun.,"['Main', 'Anand', 'ja', 'raha', 'hun.']","[0, 1, 0, 0, 0]",generated,5,1
88,Main East Garo Hills ja raha hun.,"['Main', 'East', 'Garo', 'Hills', 'ja', 'raha', 'hun.']","[0, 1, 2, 2, 0, 0, 0]",generated,7,1
89,Food from Ambedkar Nagar is delicious.,"['Food', 'from', 'Ambedkar', 'Nagar', 'is', 'delicious.']","[0, 0, 1, 2, 0, 0]",generated,6,1
90,Mere dost Amreli se hain.,"['Mere', 'dost', 'Amreli', 'se', 'hain.']","[0, 0, 1, 0, 0]",generated,5,1
91,The Deoria cricket team won the match.,"['The', 'Deoria', 'cricket', 'team', 'won', 'the', 'match.']","[0, 1, 0, 0, 0, 0, 0]",generated,7,1
92,-DOCSTART-,['-DOCSTART-'],[0],original_conll,1,0
93,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . ""","['Speaking', 'only', 'hours', 'after', 'Chinese', 'state', 'media', 'said', 'the', 'time', 'was', 'right', 'to', 'engage', 'in', 'political', 'talks', 'with', 'Taiwan', ',', 'Foreign', 'Ministry', 'spokesman', 'Shen', 'Guofang', 'told', 'Reuters', ':', '""', 'The', 'necessary', 'atmosphere', 'for', 'the', 'opening', 'of', 'the', 'talks', 'has', 'been', 'disrupted', 'by', 'the', 'Taiwan', 'authorities', '.', '""']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_conll,47,0
94,-- Amsterdam newsroom +31 20 504 5000,"['--', 'Amsterdam', 'newsroom', '+31', '20', '504', '5000']","[0, 0, 0, 0, 0, 0, 0]",original_conll,7,0
95,My family is from Karimnagar.,"['My', 'family', 'is', 'from', 'Karimnagar.']","[0, 0, 0, 0, 0]",generated,5,0
96,Traditional dance of North East is popular.,"['Traditional', 'dance', 'of', 'North', 'East', 'is', 'popular.']","[0, 0, 0, 1, 2, 0, 0]",generated,7,1
97,Temperature in Kandhamal reached 45 degrees.,"['Temperature', 'in', 'Kandhamal', 'reached', '45', 'degrees.']","[0, 0, 1, 0, 0, 0]",generated,6,1
98,Bhadrak experienced heavy rainfall.,"['Bhadrak', 'experienced', 'heavy', 'rainfall.']","[1, 0, 0, 0]",generated,4,1
99,The military said Saturday 13 guerrillas were killed in two encounters in the central province of Uruzgan .,"['The', 'military', 'said', 'Saturday', '13', 'guerrillas', 'were', 'killed', 'in', 'two', 'encounters', 'in', 'the', 'central', 'province', 'of', 'Uruzgan', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",original_hindi,18,1
100,We traveled from Mahasamund to Delhi.,"['We', 'traveled', 'from', 'Mahasamund', 'to', 'Delhi.']","[0, 0, 0, 1, 0, 0]",generated,6,1
101,She works in Pithoragarh.,"['She', 'works', 'in', 'Pithoragarh.']","[0, 0, 0, 0]",generated,4,0
102,Main Banda ja raha hun.,"['Main', 'Banda', 'ja', 'raha', 'hun.']","[0, 1, 0, 0, 0]",generated,5,1
103,Educational institutions in Parbhani are top-rated.,"['Educational', 'institutions', 'in', 'Parbhani', 'are', 'top-rated.']","[0, 0, 0, 1, 0, 0]",generated,6,1
104,MEGHALAYA ki yatra sundar thi.,"['MEGHALAYA', 'ki', 'yatra', 'sundar', 'thi.']","[1, 0, 0, 0, 0]",generated,5,1
105,The office in Kohima is hiring.,"['The', 'office', 'in', 'Kohima', 'is', 'hiring.']","[0, 0, 0, 1, 0, 0]",generated,6,1
106,I live in Mahbubnagar.,"['I', 'live', 'in', 'Mahbubnagar.']","[0, 0, 0, 0]",generated,4,0
107,"At Northampton : Sussex 368-7 ( N. Lenham 145 , V. Drakes 59 not","['At', 'Northampton', ':', 'Sussex', '368-7', '(', 'N.', 'Lenham', '145', ',', 'V.', 'Drakes', '59', 'not']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",original_conll,14,0
108,The flight to North Garo Hills was delayed.,"['The', 'flight', 'to', 'North', 'Garo', 'Hills', 'was', 'delayed.']","[0, 0, 0, 1, 2, 2, 0, 0]",generated,8,1
109,Dakshina Kannada is known for its beautiful landscapes.,"['Dakshina', 'Kannada', 'is', 'known', 'for', 'its', 'beautiful', 'landscapes.']","[1, 2, 0, 0, 0, 0, 0, 0]",generated,8,1
110,Government officials from Dhemaji attended the meeting.,"['Government', 'officials', 'from', 'Dhemaji', 'attended', 'the', 'meeting.']","[0, 0, 0, 1, 0, 0, 0]",generated,7,1
111,Traditional dance of Kolkata is popular.,"['Traditional', 'dance', 'of', 'Kolkata', 'is', 'popular.']","[0, 0, 0, 1, 0, 0]",generated,6,1
112,Mr. Bakri triggered British outrage after the July 7 bombings in Aizawl when he said he would never tip off police if he knew a Muslim was about to carry out an attack .,"['Mr.', 'Bakri', 'triggered', 'British', 'outrage', 'after', 'the', 'July', '7', 'bombings', 'in', 'Aizawl', 'when', 'he', 'said', 'he', 'would', 'never', 'tip', 'off', 'police', 'if', 'he', 'knew', 'a', 'Muslim', 'was', 'about', 'to', 'carry', 'out', 'an', 'attack', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",enhanced,34,1
113,The Jalgaon museum displays ancient artifacts.,"['The', 'Jalgaon', 'museum', 'displays', 'ancient', 'artifacts.']","[0, 1, 0, 0, 0, 0]",generated,6,1
114,Government officials from Durg attended the meeting.,"['Government', 'officials', 'from', 'Durg', 'attended', 'the', 'meeting.']","[0, 0, 0, 1, 0, 0, 0]",generated,7,1
115,The flight to Barwani was delayed.,"['The', 'flight', 'to', 'Barwani', 'was', 'delayed.']","[0, 0, 0, 1, 0, 0]",generated,6,1
116,I live in Gondiya.,"['I', 'live', 'in', 'Gondiya.']","[0, 0, 0, 0]",generated,4,0
117,-DOCSTART-,['-DOCSTART-'],[0],original_conll,1,0
118,The route between Delhi and Amritsar is scenic.,"['The', 'route', 'between', 'Delhi', 'and', 'Amritsar', 'is', 'scenic.']","[0, 0, 0, 0, 0, 1, 0, 0]",generated,8,1
119,I am going to Jalpaiguri.,"['I', 'am', 'going', 'to', 'Jalpaiguri.']","[0, 0, 0, 0, 0]",generated,5,0
120,Weather in Dharmapuri is pleasant today.,"['Weather', 'in', 'Dharmapuri', 'is', 'pleasant', 'today.']","[0, 0, 1, 0, 0, 0]",generated,6,1
121,Monsoon arrived early in Lakshadweep.,"['Monsoon', 'arrived', 'early', 'in', 'Lakshadweep.']","[0, 0, 0, 0, 0]",generated,5,0
122,We visited Sultanpur last month.,"['We', 'visited', 'Sultanpur', 'last', 'month.']","[0, 0, 1, 0, 0]",generated,5,1
